Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Inspection Date,Decision Date,Inspection Result,Link,Charges
"WALGREENS #10523","1613 GLENN BLVD SW","FT PAYNE","AL",35968,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"UNITED FOOD AND FUEL #12","17662 MONTGOMERY HWY","HIGHLAND HOME","AL",36041,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"TOBACCO SHACK # 13","2760  B HWY 15","BAY SPRINGS","MS",39422,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SAFEWAY #1706","1637 NORTH TREKELL ROAD","CASA GRANDE","AZ",85122,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"FREDS STORE #2740","584 MCCURDY AVE S","RAINSVILLE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SHORT STOP #3","2880 HIGHWAY 15 NORTH","BAY SPRINGS","MS",39422,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"3 C'S DISCOUNT BEER & TOB","503 WEST 3RD STREET","FOREST","MS",39074,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"LUCKYS SUPERMARKET #34","700 HIGHWAY 75","HENAGAR","AL",35978,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS #3668","1707 GLENN BLVD","FORT PAYNE","AL",35968,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SHORT STOP 4","2647 HWY 15","BAY SPRINGS","MS",39422,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MAPCO EXPRESS 5160","9000 AL HWY 40","HENAGAR","AL",35978,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MAPCO EXPRESS 5166","1800 GAULT AVE NORTH","FORT PAYNE","AL",35967,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MURPHY USA #5811","1915 GLEN BLVD SW","FORT PAYNE","AL",35968,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"B QUIK #60","1111 N MONTGOMERY ST","STARKVILLE","MS",39759,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"PHILLIPS 66","616 S BOWMAN AVE","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"7-ELEVEN","43 REVERE ST","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
