State,County,X2010_sample_size,X2010_perc_smokers,X2011_sample_size,X2011_perc_smokers,X2012_sample_size,X2012_perc_smokers,X2013_sample_size,X2013_perc_smokers,X2014_sample_size,X2014_perc_smokers,X2015_sample_size,X2015_perc_smokers,X2016_perc_smokers,X2017_perc_smokers,X2018_perc_smokers,X2019_perc_smokers
California,Alameda,42284,15,54462,15,66928,14,78503,14,83519,13,83519,13,13,12,11,11
California,Alpine,1848,13,2370,13,2890,12,3395,12,3596,11,3596,11,11,10,11,11
California,Amador,5,,3,,,,,,,,,,16,16,15,15
California,Butte,68,,92,,,,152,25,161,21,161,21,13,11,11,11
California,Calaveras,414,19,562,19,720,21,853,19,917,19,917,19,15,15,14,14
California,Colusa,92,,114,,,,173,20,191,19,191,19,12,12,12,12
California,Contra Costa,32,,36,,,,,,,,,,14,13,12,12
California,Del Norte,1392,14,1809,13,2285,13,2697,13,2814,12,2814,12,11,11,10,10
California,El Dorado,56,,83,,,,,,118,20,118,20,16,15,15,15
California,Fresno,330,14,434,15,560,14,676,13,723,14,723,14,12,11,11,11
California,Glenn,1064,14,1410,14,1746,14,2047,14,2107,14,2107,14,13,14,14,14
California,Humboldt,63,,83,14,97,14,121,13,129,15,129,15,15,14,14,14
California,Imperial,314,18,426,19,527,21,624,20,661,19,661,19,15,16,15,15
California,Inyo,186,10,279,12,356,11,411,11,423,12,423,12,14,14,13,13
California,Kern,62,,79,,,,,,,,,,13,12,12,12
California,Kings,1038,20,1332,20,1650,17,1901,17,1968,16,1968,16,17,15,16,16
California,Lake,154,11,211,11,254,13,291,15,299,13,299,13,16,15,15,15
California,Lassen,126,22,176,23,216,20,263,23,294,25,294,25,15,15,15,15
California,Los Angeles,48,,65,,,,158,19,177,18,177,18,15,14,14,14
California,Madera,6938,15,7988,15,9465,14,11010,13,13100,12,13100,12,12,12,11,11
California,Marin,192,14,257,12,318,13,386,13,402,14,402,14,16,15,14,14
California,Mariposa,429,12,584,12,725,9,883,10,922,10,922,10,11,10,10,10
California,Mendocino,48,,71,,,,,,113,20,113,20,13,12,12,12
California,Merced,180,,251,19,329,20,392,18,416,18,416,18,15,13,14,14
California,Modoc,263,14,356,14,439,15,532,14,555,12,555,12,16,15,14,14
California,Mono,22,,27,,,,,,,,,,14,14,13,13
California,Monterey,37,,51,8,65,8,72,4,,,,,14,13,13,13
California,Napa,526,14,690,15,847,13,989,13,1029,13,1029,13,14,11,12,12
California,Nevada,217,8,294,8,367,8,423,9,453,9,453,9,11,12,11,11
California,Orange,235,12,301,13,384,15,472,14,506,14,506,14,12,12,12,12
California,Placer,3464,14,4584,13,5616,12,6485,12,6713,11,6713,11,11,10,10,10
California,Plumas,542,13,720,11,916,11,1102,10,1167,8,1167,8,11,10,10,10
California,Riverside,58,,79,,,,131,16,133,14,133,14,13,13,12,12
California,Sacramento,2450,16,3261,15,3943,15,4630,15,4874,15,4874,15,14,13,12,12
California,San Benito,1887,16,2451,16,2981,15,3499,15,3696,15,3696,15,15,13,13,13
California,San Bernardino,63,5,81,5,107,5,146,7,,,,,12,12,11,11
California,San Diego,2383,17,3077,17,3750,17,4348,17,4452,16,4452,16,14,14,13,13
California,San Francisco,3838,14,5096,14,6340,13,7514,13,7777,12,7777,12,12,11,11,11
California,San Joaquin,990,15,1330,13,1590,13,1846,11,1914,10,1914,10,12,10,10,10
California,San Luis Obispo,798,17,1034,17,1279,18,1504,18,1563,16,1563,16,14,13,12,12
California,San Mateo,466,11,626,12,806,12,959,10,1020,9,1020,9,12,12,11,11
California,Santa Barbara,861,15,1129,15,1394,14,1634,10,1722,11,1722,11,9,9,9,9
California,Santa Clara,555,13,753,11,952,11,1144,11,1220,11,1220,11,12,11,11,11
California,Santa Cruz,2032,10,2660,10,3307,10,3869,10,4011,10,4011,10,9,8,8,8
California,Shasta,444,11,541,11,664,10,785,10,838,10,838,10,13,11,12,12
California,Sierra,386,23,501,23,629,24,734,23,777,25,777,25,14,14,14,14
California,Siskiyou,12,,15,,,,,,,,,,13,12,12,12
California,Solano,114,17,160,19,206,21,252,24,267,24,267,24,15,14,15,15
California,Sonoma,458,16,593,16,717,14,826,14,878,14,878,14,12,12,12,12
California,Stanislaus,820,16,1088,15,1420,15,1685,14,1786,14,1786,14,12,12,11,11
California,Sutter,861,17,1019,18,1171,17,1326,17,1275,17,1275,17,15,14,13,13
California,Tehama,116,,158,,,,216,18,237,19,237,19,13,12,13,13
California,Trinity,128,,173,23,222,19,257,18,266,21,266,21,15,14,15,15
California,Tulare,38,,51,,,,,,82,23,82,23,15,15,15,15
California,Tuolumne,526,19,721,20,918,19,1079,16,1139,15,1139,15,15,14,16,16
California,Ventura,124,23,174,24,237,22,281,21,288,19,288,19,13,13,12,12
California,Yolo,1071,16,1399,15,1681,14,1963,12,2019,12,2019,12,11,10,11,11
California,Yuba,298,9,392,8,480,7,574,7,584,8,584,8,12,12,12,12
